node0,node1
681,355374
681,500110
11265,1325018
11265,1325018
11265,1325018
11265,1325018
11265,1325018
11265,1325018
11265,1325018
11265,1325018
11265,1325018
11265,1325018
681,671729
11265,1325018
11265,1325018
4253,6592
0,0
681,797932
11265,1325018
11265,1325018
11265,1325018
11265,1325018
11265,1325018
11265,1325018
