node0,node1
211,242408
211,382219
10795,1327360
10795,1327360
10795,1327360
10795,1327360
10795,1327360
10795,1327360
10795,1327360
10795,1327360
10795,1327360
10795,1327360
211,529370
10795,1327360
10795,1327360
10795,1327360
10795,8986
0,0
211,670231
211,825701
10795,1327360
10795,1327360
10795,1327360
10795,1327360
10795,1327360
