time,sock0,sock1
0.1,  164.52,50656.23
0.2,  151.97,47942.45
0.3,  180.62,37795.11
0.4,  207.60,34282.98
0.5,  198.74,42225.01
0.6,  157.41,49502.91
0.7,  184.09,41546.74
0.8,  174.36,35584.05
0.9,  145.38,34156.16
1.0,  145.18,53155.50
1.1,  267.98,44942.47
1.2,  310.89,35584.58
1.3,  178.49,32103.17
1.4,  143.09,48964.45
1.5,  192.43,46899.08
1.6,  148.00,37834.59
1.7,  147.96,34749.30
1.8,  174.07,40076.06
1.9,  134.29,46633.30
2.0,  149.06,41966.36
2.1,  165.14,35645.46
2.2,  197.64,34767.14
2.3,  155.55,50553.66
2.4,  138.99,45901.18
2.5,  145.18,36897.08
2.6,  153.53,31260.37
2.7,  216.13,47496.36
2.8,  147.65,43249.25
2.9,  136.76,37320.58
3.0,  160.95,34199.76
3.1,  159.04,40006.83
3.2,  219.61,47397.93
3.3,  595.38,41512.22
3.4,  151.16,34628.79
3.5,  153.54,37653.38
3.6,  130.08,45556.12
3.7,  156.40,46553.00
3.8,  151.45,36734.46
3.9,  142.72,33911.57
4.0,  148.45,42717.03
4.1,  150.40,45539.12
4.2,  165.77,39677.12
4.3,  198.19,33101.45
4.4,  139.24,42624.12
4.5,  139.36,47048.81
4.6,  143.92,41199.47
4.7,  158.39,35802.88
4.8,  160.30,39890.75
4.9,  131.26,43794.59
5.0,  174.74,43488.43
5.1,  162.39,37218.98
5.2,  175.68,37680.94
5.3,  192.43,44016.59
5.4,  211.08,41906.80
5.5,  154.26,40165.86
5.6,  148.25,35799.17
5.7,  148.25,40951.36
5.8,  201.53,43508.13
5.9,  127.56,43335.54
6.0,  143.13,36860.36
6.1,  127.87,39986.96
6.2,  137.51,41509.16
6.3,  162.02,45164.19
6.4,  133.48,37355.37
6.5,  174.23,38887.59
6.6,  124.76,39119.88
6.7,  138.28,46919.34
6.8,  147.05,39336.23
6.9,  166.71,36422.39
7.0,  162.28,42901.05
7.1,  144.06,41910.91
7.2,  279.67,38949.28
7.3,  267.33,37718.75
7.4,  160.15,43523.97
7.5,  190.99,38766.52
7.6,  142.46,43753.25
7.7,  159.71,39159.86
7.8,  155.59,42487.32
7.9,  130.51,39282.27
8.0,  162.50,43529.78
8.1,  136.20,38011.58
8.2,  166.98,41128.55
8.3,  163.81,40486.67
8.4,  182.98,41324.43
8.5,  189.84,41004.23
8.6,  172.44,40383.14
8.7,  152.07,42998.39
8.8,  167.68,39996.18
8.9,  225.39,43008.91
9.0,  208.14,37206.20
9.1,  163.72,41938.79
9.2,  167.14,40706.28
9.3,  199.28,42746.45
9.4,  164.92,38937.29
9.5,  151.51,40108.92
9.6,  152.70,40960.89
9.7,  143.14,41998.17
9.8,  160.73,38337.82
9.9,  156.03,39743.32
10.0,  151.27,40664.88
10.1,  157.96,43226.10
10.2,  142.89,41360.58
10.3,  177.68,39788.44
10.4,  205.48,40658.75
10.5,  169.93,41953.95
10.6,  144.89,43156.02
10.7,  152.28,38824.37
10.8,  520.78,40661.02
10.9,  145.86,41594.11
11.0,  158.76,41048.46
11.1,  252.68,38625.95
11.2,  343.70,41375.09
11.3,  181.50,42418.34
11.4,  156.79,41201.11
11.5,  164.88,39209.14
11.6,  159.33,40426.73
11.7,  139.83,41640.20
11.8,  158.56,43107.15
11.9,  150.99,39326.14
12.0,  220.69,42150.12
12.1,  185.30,38002.72
12.2,  148.02,41702.33
12.3,  348.34,38920.16
12.4,  160.79,40225.18
12.5,  164.94,39924.95
12.6,  158.50,40861.19
12.7,  157.91,40015.61
12.8,  146.42,40888.30
12.9,  127.85,39483.94
13.0,  160.51,41517.75
13.1,  142.14,41814.22
13.2,  174.43,38383.71
13.3,  257.25,40904.70
13.4,  163.70,38887.84
13.5,  227.55,42272.48
13.6,  147.76,37283.09
13.7,  433.49,40967.16
13.8,  151.54,40531.69
13.9,  127.64,43134.58
14.0,  154.61,37030.96
14.1,  157.52,42313.46
14.2,  148.73,40253.45
14.3,  153.79,42473.74
14.4,  135.00,40358.20
14.5,  150.61,38785.11
14.6,  131.60,41339.01
14.7,  149.23,42517.95
14.8,  163.14,40086.45
14.9,  143.06,37241.20
15.0,  203.88,44256.15
15.1,  213.60,41642.53
15.2,  180.46,40752.96
15.3,  191.03,38335.61
15.4,  159.68,43362.12
15.5,  159.41,40722.75
