time,sock0,sock1
0.1,   78.26, 3692.80
0.2,   71.30,13847.35
0.3,   63.21,13190.45
0.4,   59.58, 5310.97
0.5,  498.08,14724.69
0.6,  155.74,13295.25
0.7,  231.85, 6488.91
0.8,  162.74,12311.00
0.9,   64.48,15548.31
1.0,   65.45, 5217.29
1.1,   89.65, 8926.92
1.2,   90.67,16235.89
1.3,   56.89, 6939.42
1.4,  238.73, 9566.51
1.5,   56.41,14424.65
1.6,   67.05, 5873.37
1.7,   73.96,10016.72
1.8,   79.09,16268.45
1.9,   79.25, 6812.25
2.0,   70.55, 9961.66
2.1,  134.60,17158.09
2.2,  191.70, 7131.79
2.3,   55.92, 9508.99
2.4,  103.15,14934.22
2.5,   64.33, 8651.21
2.6,   67.17, 5616.80
2.7,   92.00,16753.52
2.8,   85.03, 8574.46
2.9,   80.36, 5797.39
3.0,   64.76,17913.51
3.1,   98.63, 9648.47
3.2,  889.87, 9789.08
3.3,  129.47,16652.90
3.4,   69.54,10553.17
3.5,   75.45, 5444.64
3.6,  114.64,17931.78
3.7,  340.75,10538.37
3.8,   68.28, 5154.02
3.9,   74.39,18187.77
4.0,   56.35, 9947.61
4.1,   66.55, 5549.74
4.2,   97.93,16950.09
4.3,   60.72,10327.14
4.4,   72.61, 5592.81
4.5,  458.20,16308.74
4.6,   74.90,10353.14
4.7,   78.40, 4905.74
4.8,   65.59,17371.95
4.9,   86.76,11736.01
5.0,   59.41, 6453.17
5.1,   95.03,15259.23
5.2,  353.90,12547.15
5.3,  209.27, 5267.15
5.4,   95.75,17745.66
5.5,   63.97,10198.59
5.6,   63.15, 5514.99
5.7,   78.68,13277.44
5.8,   81.71,14050.42
5.9,  125.01, 5361.07
6.0,   73.27,14426.61
6.1,   63.70,14148.17
6.2,   69.81, 6837.85
6.3,   74.05,14250.83
6.4,   98.61,12932.47
6.5,   75.35, 5121.87
6.6,   61.12,13719.30
6.7,  156.64,12955.57
6.8,   74.98, 4986.50
6.9,   67.42,14678.55
7.0,   76.17,13111.40
7.1,   98.15, 5278.49
7.2,   60.08,13094.99
7.3,   53.66,14815.35
7.4,   70.34, 6782.84
7.5,   56.87,12090.53
7.6,   47.53,14634.68
7.7,   52.88, 5635.41
7.8,   78.76,11488.70
7.9,   56.23,15107.87
8.0,   63.75, 5001.22
8.1,   91.86,11655.92
8.2,   81.04,14536.22
8.3,  128.87, 6139.36
8.4,   84.46,11944.05
