time,sock0,sock1
0.1,   66.91,13210.09
0.2,   54.12,23230.55
0.3,   63.82,27887.16
0.4,  142.81,26003.39
0.5,   91.91,23093.86
0.6,   55.04,16710.25
0.7,   58.66,14889.28
0.8,  165.60,12681.21
0.9,  111.01,17196.37
1.0,   60.76,25472.39
1.1,   62.59,25300.36
1.2,  119.97,25365.28
1.3,  125.43,19838.15
1.4,  147.89,16890.76
1.5,   83.62,14106.28
1.6,   89.67,12800.55
1.7,  236.23,21444.95
1.8,   50.06,26728.22
1.9,  109.96,24186.22
2.0,  123.61,22863.79
2.1,   63.02,17824.00
2.2,   68.66,16766.73
2.3,   77.11,13804.71
2.4,   67.78,15951.73
2.5,   73.55,25505.04
2.6,   68.24,26630.52
2.7,   63.06,21480.14
2.8,   81.46,20042.90
2.9,  190.23,17515.44
3.0,   68.39,16184.47
3.1,   46.91,14363.03
3.2,   86.63,19955.81
3.3,   47.87,26561.44
3.4,   76.02,24991.23
3.5,   70.91,20426.62
3.6,   86.19,17739.86
3.7,   73.27,16298.92
3.8,   56.28,15477.89
3.9,  115.36,17206.48
4.0,  121.72,23117.51
4.1,   48.49,27316.30
4.2,   77.73,23079.07
4.3,   93.22,18103.32
4.4,  167.52,16915.87
4.5,   74.37,16225.09
4.6,   72.34,15865.84
4.7,   68.59,20763.64
4.8,   81.86,25503.96
4.9,   66.95,24893.74
5.0,   56.03,22276.24
5.1,   87.67,16175.48
5.2,   66.88,15897.00
5.3,  100.98,15793.99
5.4,  148.03,18015.19
5.5,   55.08,22839.60
5.6,  424.81,26164.84
5.7,   69.29,25231.79
5.8,   69.14,18850.95
5.9,  164.43,15584.04
6.0,  137.38,15325.57
6.1,   76.58,15451.51
6.2,   44.99,19727.34
6.3,  313.68,25831.43
6.4,  104.50,27646.92
6.5,   69.33,23595.02
6.6,   64.83,15847.94
6.7,   61.63,15418.02
6.8,   48.73,13720.36
6.9,   94.73,16359.11
7.0,   66.55,24532.59
7.1,   77.78,27247.79
7.2,   50.66,24427.63
7.3,   88.56,21457.56
7.4,   63.61,16161.93
7.5,  133.79,12516.20
7.6,   95.86,14271.39
7.7,   98.39,19315.93
7.8,   83.43,27191.17
7.9,  100.36,25473.61
8.0,  105.17,25334.27
8.1,   54.28,19280.32
8.2,   60.63,14818.43
8.3,   40.34,11368.76
8.4,   61.28,14468.79
8.5,   54.87,23536.45
8.6,   82.26,26552.46
8.7,   59.56,26135.43
8.8,   90.09,22514.94
8.9,  117.76,17784.18
9.0,  143.09,14461.95
9.1,   88.97,11212.50
9.2,   76.28,18097.58
9.3,   48.78,24918.35
9.4,   56.54,26123.29
9.5,   56.37,27129.41
9.6,   53.58,19940.61
9.7,   67.07,17292.65
9.8,   50.97,11758.78
9.9,  100.10,12236.74
10.0,  117.60,21783.86
10.1,  335.33,24432.62
10.2,   67.31,26001.93
10.3,   58.09,27162.73
10.4,   77.99,18901.95
10.5,   96.01,16081.70
10.6,  120.67,11647.08
10.7,  100.04,14882.31
10.8,   93.71,23073.95
10.9,   88.87,24903.98
11.0,  206.33,27695.42
11.1,  227.58,22654.70
11.2,   85.93,18830.85
11.3,   68.78,14377.01
11.4,  102.61,12019.58
11.5,   79.82,16937.63
11.6,   66.98,25121.99
11.7,   80.92,24108.88
11.8,   48.00,25675.86
11.9,  114.62,21260.73
12.0,  122.73,18331.10
12.1,  121.87,13260.58
12.2,   69.16,15236.65
12.3,  107.30,19390.96
12.4,   72.14,23597.04
12.5,  241.57,25078.81
12.6,   83.38,26110.28
12.7,   75.89,19039.98
12.8,   71.21,17737.45
12.9,  114.53,12562.55
13.0,   73.04,17820.86
13.1,   68.76,20147.78
13.2,   76.01,21990.41
13.3,   59.94,25322.18
13.4,   63.43,23565.93
13.5,  104.43,19575.29
