sock0,sock1
  175.31,24737.52
  191.45,27489.72
  231.10,24889.79
  196.57,24349.87
  232.17,20809.14
  487.27,22312.01
  273.74,21682.14
  239.40,21277.11
  263.35,24960.15
  149.10, 5522.58
  120.01,14454.33
  131.20,23239.04
  307.35,21185.89
  183.21,26978.05
  147.24,30087.97
  137.79,29040.25
  296.44,24412.73
  148.20,29469.27
  221.01,22244.88
  231.36,25678.32
  128.27,30922.28
  236.50,25983.96
  198.03,26815.64
  249.59,27606.05
  215.37,26775.36
  178.85,27607.65
  156.08,24902.75
  316.12,22688.66
  252.94,22451.15
  301.73,21419.37
  226.33,22687.27
  212.16,21939.67
  296.37,21809.54
  265.33, 6585.36
  120.84,16739.30
  114.42,21656.73
  269.54,22270.82
  186.95,26855.73
  136.70,30817.26
  206.25,27930.83
  171.73,26184.35
  154.88,31682.07
  205.97,22312.88
  284.52,30163.97
  197.76,26702.40
  192.11,26257.46
  182.75,29333.24
  545.03,26341.84
  177.68,25435.33
  263.31,27150.51
  134.42,22983.78
  242.86,21049.20
  191.45,24226.06
  204.58,20897.97
  190.31,22259.06
  229.47,21899.50
  351.47,22466.48
  220.94, 2509.69
  302.14,17029.77
  165.40,21708.31
  157.72,22477.66
  173.77,26769.91
  202.80,30789.49
  172.51,27437.69
  457.70,22527.62
  146.64,27110.65
  200.92,24587.25
  275.42,20897.10
  108.09,31638.42
  436.34,21425.30
  169.81,24619.59
  198.65,28157.80
  170.49,25066.99
  196.78,26148.46
  320.89,26576.46
  162.10,24892.12
  260.19,23517.58
  238.12,21099.59
  196.27,22392.85
  268.58,22997.39
  206.87,23521.05
  253.54,19608.85
  376.19,30010.02
  304.27, 5865.03
   93.13, 2605.91
  111.24, 1803.96
   63.78, 1754.47
  310.69,  375.30
   32.28,   27.74
  257.14,  319.74
   29.34,   25.59
  292.51,   71.00
   24.94,   23.31
   40.15,   38.30
   26.53,   31.49
   37.99,   45.69
   65.52,   95.72
  193.12,  137.01
   29.08,   21.14
   28.03,   27.31
   23.08,   16.42
   39.96,   36.61
  278.79,  169.71
   44.71,   35.65
   78.48,   47.67
  145.43,  112.31
   49.38,   40.87
   63.45,   63.87
   30.38,   22.19
   86.47,   40.78
   26.91,   26.95
   24.70,   20.74
   64.35,   67.67
   25.65,   23.42
   48.10,   39.19
   54.54,   19.56
  358.39,  136.26
   47.15,   30.15
   46.50,   35.34
   46.37,   34.97
   14.03,   15.84
   36.39,   20.46
  100.75,   82.06
  176.13,  109.64
   47.37,   26.56
   29.69,   18.76
   27.93,   26.64
   42.75,   32.41
   22.34,   11.80
   63.08,   53.13
   28.97,   16.91
  279.58,   65.39
  151.20,  120.07
  382.26,  299.34
   31.06,   21.10
   41.30,   19.45
  104.22,   98.41
   52.82,   40.03
