.1,1382.25
.2,1386.97
.3,1386.97
.4,1388.42
.5,1391.26
.6,1405.95
.7,1425.55
.8,1431.22
.9,1436.38
1.0,1440.76
1.1,1443.08
1.2,1469.38
1.3,1471.44
1.4,1472.73
1.5,1473.5
1.6,1474.27
1.7,1474.53
1.8,1474.79
1.9,1475.05
2.0,1475.3
2.1,1475.3
2.2,1475.3
2.3,1475.3
2.4,1475.56
2.5,1475.56
2.6,1475.56
2.7,1475.56
2.8,1475.56
2.9,1475.56
3.0,1475.56
3.1,1475.56
3.2,1475.56
3.3,1475.56
3.4,1475.56
3.5,1475.56
3.6,1475.56
3.7,1475.56
3.8,1475.56
3.9,1475.56
4.0,1475.56
4.1,1475.56
4.2,1475.56
4.3,1475.56
4.4,1475.56
4.5,1475.56
4.6,1475.56
4.7,1464.14
4.8,969.488
4.9,96.625
