,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-02-07,18:17:29.144,    6.99,    4.54,    3.63,    1.19,    7.08,    4.62,    3.41,    1.17,   21.11,   11.51,    105250,   32.62,    7.60,    4.51,    4.23,    1.14,    7.31,    4.54,    4.25,    1.31,   23.40,   11.50,    105240,   34.90,     44.51,     23.01,     67.52
2023-02-07,18:17:29.245,    3.94,    3.74,    0.60,    0.37,    3.95,    3.75,    0.56,    0.38,    9.04,    8.24,    105480,   17.28,    4.58,    3.87,    1.11,    0.46,    4.41,    3.79,    1.35,    0.57,   11.45,    8.69,    105480,   20.13,     20.49,     16.92,     37.42
2023-02-07,18:17:29.344,    3.81,    3.52,    0.51,    0.19,    3.79,    3.53,    0.47,    0.20,    8.58,    7.45,    104220,   16.02,    4.49,    3.62,    1.06,    0.26,    4.22,    3.56,    1.26,    0.37,   11.03,    7.81,    104200,   18.84,     19.61,     15.25,     34.86
2023-02-07,18:17:29.444,    9.25,    5.18,    6.00,    1.82,    9.44,    5.26,    5.74,    1.81,   30.43,   14.06,    105240,   44.49,    8.23,    5.24,    4.76,    1.85,    7.90,    5.26,    5.04,    2.06,   25.92,   14.40,    105250,   40.33,     56.35,     28.47,     84.82
2023-02-07,18:17:29.544,    5.29,    4.04,    1.95,    0.67,    5.18,    4.00,    1.87,    0.63,   14.29,    9.34,    104220,   23.64,    5.81,    4.09,    2.38,    0.70,    5.60,    4.03,    2.68,    0.95,   16.47,    9.76,    104230,   26.24,     30.77,     19.11,     49.87
2023-02-07,18:17:29.644,    6.03,    4.25,    2.72,    0.90,    6.01,    4.26,    2.48,    0.84,   17.24,   10.25,    105260,   27.49,    6.13,    4.37,    2.68,    0.92,    5.86,    4.31,    2.87,    1.10,   17.55,   10.70,    105260,   28.25,     34.79,     20.94,     55.73
2023-02-07,18:17:29.744,    4.76,    4.13,    1.43,    0.81,    4.67,    4.15,    1.21,    0.77,   12.06,    9.86,    105260,   21.92,    6.95,    4.27,    3.52,    0.82,    6.70,    4.23,    3.71,    1.02,   20.88,   10.33,    105240,   31.22,     32.94,     20.20,     53.14
2023-02-07,18:17:29.844,    3.96,    3.62,    0.64,    0.30,    3.92,    3.61,    0.56,    0.27,    9.07,    7.81,    104180,   16.88,    4.81,    3.76,    1.46,    0.41,    4.61,    3.72,    1.50,    0.46,   12.38,    8.35,    104180,   20.74,     21.45,     16.16,     37.61
2023-02-07,18:17:29.944,    4.91,    3.95,    1.53,    0.58,    4.90,    3.97,    1.46,    0.58,   12.80,    9.07,    105240,   21.87,    5.37,    4.03,    1.97,    0.66,    5.07,    4.01,    2.10,    0.77,   14.52,    9.48,    105240,   23.99,     27.32,     18.55,     45.87
2023-02-07,18:17:30.045,    3.93,    3.57,    0.60,    0.21,    3.91,    3.57,    0.51,    0.18,    8.95,    7.54,    105240,   16.49,    4.60,    3.70,    1.11,    0.32,    4.36,    3.65,    1.22,    0.36,   11.29,    8.02,    105240,   19.32,     20.25,     15.56,     35.81
2023-02-07,18:17:30.144,   16.71,    8.36,   12.06,    4.60,   17.38,    9.11,   12.13,    4.69,   58.28,   26.76,    104200,   85.03,   25.85,   11.46,   23.64,    8.51,   25.87,   11.51,   22.93,    8.42,   98.29,   39.90,    104800,  138.19,    156.57,     66.65,    223.22
2023-02-07,18:17:30.244,   15.88,    7.76,   12.67,    4.45,   17.98,    8.72,   11.95,    4.34,   58.48,   25.28,    104830,   83.76,   15.26,    7.43,   11.51,    4.08,   14.77,    7.43,   11.28,    4.22,   52.83,   23.16,    104260,   75.99,    111.31,     48.44,    159.75
2023-02-07,18:17:30.344,   10.14,    6.79,    6.90,    3.34,   10.19,    6.80,    6.70,    3.35,   33.94,   20.28,    105280,   54.22,    8.34,    6.13,    4.77,    2.72,    8.01,    6.12,    4.85,    2.83,   25.98,   17.80,    105280,   43.78,     59.92,     38.08,     98.00
2023-02-07,18:17:30.445,    5.98,    5.19,    2.80,    1.85,    6.06,    5.25,    2.51,    1.77,   17.34,   14.07,    104216,   31.42,    5.86,    5.00,    2.39,    1.70,    5.67,    5.00,    2.64,    1.87,   16.57,   13.57,    104236,   30.14,     33.91,     27.64,     61.55
2023-02-07,18:17:30.545,    6.11,    5.07,    2.79,    1.78,    6.11,    5.10,    2.64,    1.84,   17.65,   13.79,    105260,   31.44,    6.06,    5.08,    2.51,    1.70,    5.85,    4.99,    2.71,    1.72,   17.12,   13.50,    105260,   30.62,     34.77,     27.29,     62.06
2023-02-07,18:17:30.645,   17.90,   11.87,   14.45,    8.46,   17.85,   11.93,   14.26,    8.46,   64.46,   40.73,    105240,  105.19,   12.40,   11.26,    8.90,    8.01,   12.23,   11.24,    9.05,    8.06,   42.57,   38.57,    105220,   81.14,    107.03,     79.30,    186.33
2023-02-07,18:17:30.745,    6.62,   14.16,    3.36,   10.81,    6.64,   14.23,    3.09,   10.83,   19.71,   50.02,    104220,   69.73,   19.87,   80.44,   16.38,   76.95,   19.75,   80.54,   16.52,   77.05,   72.53,  314.98,    104260,  387.51,     92.24,    365.00,    457.24
2023-02-07,18:17:30.845,   23.62,   13.26,   20.03,    9.75,   23.55,   13.29,   19.84,    9.80,   87.04,   46.10,    105360,  133.14,   23.67,   52.57,   20.10,   49.16,   23.38,   52.36,   20.26,   49.65,   87.41,  203.74,    105370,  291.15,    174.45,    249.84,    424.29
2023-02-07,18:17:30.946,    9.62,    5.75,    6.23,    2.47,    9.58,    5.81,    5.92,    2.40,   31.34,   16.44,    104256,   47.78,   10.17,   41.98,    6.68,   38.71,    9.91,   41.92,    6.97,   38.60,   33.72,  161.21,    104236,  194.94,     65.06,    177.65,    242.72
2023-02-07,18:17:31.046,    4.43,    4.73,    0.93,    1.34,    4.31,    4.68,    0.87,    1.40,   10.54,   12.16,    105280,   22.70,   12.19,   39.54,    9.10,   36.11,   11.67,   39.37,    9.33,   36.26,   42.30,  151.28,    105260,  193.58,     52.84,    163.44,    216.29
2023-02-07,18:17:31.147,   27.21,   17.36,   24.00,   14.08,   27.09,   17.48,   23.48,   14.06,  101.78,   62.97,    105270,  164.75,   20.62,   48.98,   17.22,   45.68,   20.12,   49.01,   16.93,   45.91,   74.89,  189.59,    105280,  264.48,    176.67,    252.57,    429.23
2023-02-07,18:17:31.246,    5.65,    4.16,    2.29,    0.87,    5.62,    4.21,    2.23,    0.85,   15.80,   10.08,    104260,   25.88,    8.50,   39.71,    5.16,   36.10,    8.04,   39.63,    4.94,   36.23,   26.65,  151.66,    104240,  178.31,     42.44,    161.74,    204.19
2023-02-07,18:17:31.346,    4.59,    4.39,    1.11,    0.99,    4.45,    4.38,    1.09,    1.04,   11.24,   10.80,    105240,   22.04,    7.60,   37.65,    4.19,   34.36,    7.45,   37.55,    4.29,   34.31,   23.53,  143.86,    105240,  167.40,     34.77,    154.67,    189.44
2023-02-07,18:17:31.447,   17.48,    6.75,   14.29,    3.37,   17.37,    6.79,   13.81,    3.29,   62.95,   20.20,    104216,   83.15,   19.74,   53.31,   16.12,   50.00,   19.40,   53.57,   16.18,   50.26,   71.44,  207.13,    104236,  278.57,    134.39,    227.33,    361.72
2023-02-07,18:17:31.547,    7.67,    5.38,    4.21,    1.98,    7.48,    5.40,    3.92,    1.91,   23.28,   14.67,    105280,   37.95,   11.07,   41.65,    7.78,   38.11,   11.00,   41.45,    7.71,   38.30,   37.57,  159.51,    105280,  197.08,     60.84,    174.18,    235.03
2023-02-07,18:17:31.647,    8.80,    6.07,    5.39,    2.71,    8.64,    5.99,    5.24,    2.67,   28.06,   17.45,    105260,   45.51,   12.97,   40.54,   10.47,   37.42,   13.07,   40.47,    9.80,   37.19,   46.30,  155.61,    105270,  201.91,     74.36,    173.05,    247.42
2023-02-07,18:17:31.747,    5.49,    5.39,    2.08,    2.02,    5.44,    5.39,    2.18,    2.10,   15.19,   14.91,    104220,   30.09,   17.48,   41.69,   14.83,   38.43,   17.21,   41.50,   15.07,   38.61,   64.60,  160.22,    104280,  224.82,     79.78,    175.13,    254.91
2023-02-07,18:17:31.847,   13.98,    9.49,   10.63,    6.19,   13.83,    9.56,   10.49,    6.24,   48.92,   31.48,    105270,   80.40,   14.66,   39.33,   11.14,   36.18,   14.37,   39.41,   11.29,   36.18,   51.46,  151.09,    105280,  202.55,    100.38,    182.57,    282.95
2023-02-07,18:17:31.948,   51.57,   14.74,   56.40,   16.77,   52.85,   14.88,   48.92,   11.46,  209.74,   57.84,    104286,  267.58,   20.72,   54.54,   16.78,   50.95,   19.24,   54.13,   16.37,   51.05,   73.12,  210.67,    104266,  283.79,    282.85,    268.51,    551.37
2023-02-07,18:17:32.047,    8.20,    5.93,    4.76,    2.54,    8.08,    5.88,    4.74,    2.56,   25.78,   16.91,    105362,   42.69,   14.32,   36.27,   11.70,   33.03,   13.83,   36.28,   10.94,   33.02,   50.79,  138.61,    105362,  189.39,     76.57,    155.51,    232.08
2023-02-07,18:17:32.147,   20.84,    7.30,   17.42,    3.88,   20.71,    7.33,   17.01,    3.86,   75.97,   22.36,    105280,   98.34,   20.22,   51.36,   16.52,   48.06,   18.90,   51.06,   15.77,   48.12,   71.41,  198.61,    105260,  270.02,    147.38,    220.97,    368.36
2023-02-07,18:17:32.247,   11.58,    6.83,    8.29,    3.52,   11.40,    6.86,    7.81,    3.50,   39.08,   20.71,    104250,   59.79,   19.58,   45.11,   16.22,   41.70,   18.81,   45.02,   15.61,   41.72,   70.21,  173.54,    104300,  243.76,    109.29,    194.26,    303.55
2023-02-07,18:17:32.347,   12.42,    7.00,    9.17,    3.73,   12.61,    7.16,    8.86,    3.70,   43.06,   21.59,    105300,   64.65,   15.18,   39.06,   11.87,   35.64,   14.01,   38.85,   10.90,   35.75,   51.95,  149.30,    105320,  201.26,     95.01,    170.89,    265.91
2023-02-07,18:17:32.447,   15.37,    8.22,   12.14,    4.83,   15.50,    8.28,   11.48,    4.80,   54.49,   26.12,    104240,   80.61,   17.85,   42.79,   14.40,   39.74,   17.41,   42.98,   14.30,   39.93,   63.97,  165.44,    104260,  229.41,    118.45,    191.57,    310.02
2023-02-07,18:17:32.547,   15.40,    8.66,   11.94,    5.45,   15.02,    8.81,   11.29,    5.29,   53.65,   28.22,    105310,   81.87,   22.62,   45.21,   18.83,   41.89,   22.10,   45.14,   18.85,   41.95,   82.40,  174.19,    105320,  256.59,    136.05,    202.41,    338.46
2023-02-07,18:17:32.648,    7.72,    5.79,    4.20,    2.31,    7.59,    5.71,    4.14,    2.36,   23.65,   16.16,    105300,   39.81,    9.79,   39.43,    6.27,   35.98,    9.78,   39.53,    6.55,   36.06,   32.40,  151.00,    105300,  183.40,     56.04,    167.17,    223.21
2023-02-07,18:17:32.747,    6.63,    5.58,    3.26,    2.18,    6.39,    5.55,    3.04,    2.13,   19.31,   15.45,    104230,   34.75,    9.11,   37.48,    5.93,   34.24,    9.08,   37.40,    6.04,   34.44,   30.16,  143.56,    104220,  173.72,     49.47,    159.00,    208.47
2023-02-07,18:17:32.847,   11.80,    6.65,    8.47,    3.43,   11.73,    6.73,    8.34,    3.40,   40.34,   20.22,    105280,   60.56,   17.62,   47.24,   13.87,   43.66,   17.44,   47.09,   13.96,   43.57,   62.89,  181.57,    105280,  244.46,    103.23,    201.79,    305.02
2023-02-07,18:17:32.947,   16.60,   10.51,   13.09,    7.10,   16.46,   10.53,   12.86,    7.20,   59.00,   35.34,    104260,   94.35,   17.45,   41.22,   14.04,   38.22,   17.14,   41.33,   14.14,   38.45,   62.76,  159.22,    104250,  221.98,    121.77,    194.56,    316.33
2023-02-07,18:17:33.047,    5.58,    4.79,    2.13,    1.38,    5.40,    4.79,    2.05,    1.44,   15.17,   12.39,    105280,   27.56,    8.94,   36.74,    5.54,   33.18,    8.62,   36.59,    5.68,   33.20,   28.78,  139.71,    105270,  168.49,     43.95,    152.10,    196.05
