13000_sock0,13000_sock1,10000_sock0,10000_sock1,7000_sock0,7000_sock1
   49.77,10173.77,,,,
   52.13,10922.10,,,,
   84.79,11711.36,,,,
   82.54,11124.82,,,,
   59.73,11081.57,,,,
  306.83,12268.86,,,,
  174.99,12434.46,,,,
  379.89,10077.07,,,,
  200.76, 8824.82,,,,
  150.01, 8892.84,,,,
   68.38,10100.32,,,,
   69.77, 9683.40,,,,
   90.42,10266.96,,,,
   98.07,10749.95,,,,
   56.59,10923.79,,,,
  147.55,13391.38,,,,
  111.90,12612.03,,,,
   64.37,13075.79,,,,
   71.55,11822.56,,,,
   75.75,11231.54,,,,
   53.49,11739.06,,,,
   61.36,11169.60,,,,
  135.67, 9649.32,,,,
  261.57,10872.55,,,,
  117.94,10521.49,,,,
  145.63,13335.47,,,,
   89.09,13425.79,,,,
   84.70,11594.19,,,,
   69.49,12650.81,,,,
   90.43,12024.38,,,,
   78.36,11713.24,,,,
  123.90,11921.19,,,,
  227.58,13703.17,,,,
   79.21,11541.52,,,,
  109.40,10713.74,,,,
  168.47,10803.63,,,,
  167.89,11769.91,,,,
   81.77, 9980.19,,,,
   87.05,10127.03,,,,
   50.17,10684.95,,,,
   52.09, 9831.18,,,,
   62.49, 9490.07,,,,
   83.76, 9288.59,,,,
   96.46, 8947.24,,,,
   72.23, 9910.19,,,,
  214.52,11338.03,,,,
  143.71,12403.93,,,,
   53.88,11319.19,,,,
  340.26,10833.61,,,,
  105.04, 7783.32,,,,
   84.03, 9241.62,,,,
   50.58,12689.80,,,,
  104.35,11428.38,,,,
   66.60,10649.02,,,,
   46.09,10178.16,,,,
   79.58, 9930.71,,,,
  165.33, 9952.69,,,,
   93.83,10205.54,,,,
   46.81,10421.04,,,,
   46.93,10733.02,,,,
   56.35,10782.77,,,,
   73.90, 9768.69,,,,
  104.34,11789.47,,,,
   80.30,10582.45,,,,
   60.52,10608.12,,,,
   73.94,12011.07,,,,
  133.93,11838.37,,,,
   54.86,12003.44,,,,
   64.60, 9588.54,,,,
  120.27,11336.91,,,,
   96.99,11391.76,,,,
   45.48,11772.24,,,,
  269.99, 9565.51,,,,
  173.47,10438.89,,,,
   55.48,10007.15,,,,
  112.91, 8539.94,,,,
  135.78, 7793.10,,,,
   71.74, 7586.00,,,,
   42.34,12568.24,,,,
   49.98,12110.87,,,,
  103.72,11745.22,,,,
   63.24,12234.26,,,,
  214.79,10557.01,,,,
  115.39,10643.38,,,,
  139.23, 9013.83,,,,
  103.03, 9638.20,,,,
  166.61,11064.51,,,,
   82.89,12089.74,,,,
   78.28,10768.51,,,,
  312.17,23565.41,,,,
   79.95, 1295.45,,,,
   81.57,  336.46,,,,
   71.53,  143.34,,,,
   25.08,   30.81,,,,
   32.10,   33.45,,,,
   36.49,   53.69,,,,
   36.10,   40.40,,,,
   68.13,   71.17,,,,
   17.77,   23.85,,,,
   18.56,   27.60,,,,
   20.62,   33.75,,,,
   33.02,   43.68,,,,
