,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2023-02-07,18:15:30.506,    7.82,    6.12,    4.44,    2.74,    7.69,    6.18,    4.24,    2.71,   24.19,   17.75,    104198,   41.94,    6.40,    4.88,    2.86,    1.53,    6.09,    4.83,    3.10,    1.72,   18.45,   12.96,    104178,   31.41,     42.64,     30.71,     73.35
2023-02-07,18:15:30.606,   40.23,   21.21,   36.79,   17.85,   40.12,   21.03,   35.23,   17.28,  152.38,   77.37,    105540,  229.75,   34.77,   13.90,   29.54,    9.96,   32.71,   13.16,   34.95,   12.69,  131.97,   49.71,    105610,  181.68,    284.35,    127.07,    411.43
2023-02-07,18:15:30.706,   12.28,    6.42,    9.05,    3.19,   12.32,    6.59,    8.84,    3.25,   42.49,   19.45,    104260,   61.94,    7.63,    5.45,    3.79,    2.03,    7.01,    5.37,    4.08,    2.19,   22.51,   15.03,    104240,   37.54,     65.00,     34.48,     99.48
2023-02-07,18:15:30.806,    8.50,    5.38,    5.25,    1.98,    8.52,    5.42,    4.97,    2.02,   27.24,   14.80,    105280,   42.04,    9.12,    5.11,    5.41,    1.71,    8.50,    5.05,    5.75,    1.93,   28.77,   13.81,    105280,   42.58,     56.01,     28.61,     84.62
2023-02-07,18:15:30.907,    8.23,    5.07,    4.61,    1.61,    8.01,    5.07,    4.48,    1.73,   25.33,   13.48,    105270,   38.81,    8.00,    4.84,    4.28,    1.37,    7.53,    4.77,    4.65,    1.47,   24.46,   12.45,    105280,   36.91,     49.79,     25.93,     75.73
2023-02-07,18:15:31.006,    3.98,    4.18,    0.57,    0.82,    3.90,    4.25,    0.51,    0.81,    8.96,   10.07,    104240,   19.03,    7.74,    4.09,    4.56,    0.81,    7.71,    4.06,    5.04,    0.98,   25.06,    9.94,    104240,   35.00,     34.02,     20.01,     54.03
2023-02-07,18:15:31.106,    6.99,    4.25,    3.66,    0.95,    7.05,    4.33,    3.51,    0.93,   21.21,   10.47,    105280,   31.68,    5.50,    4.33,    1.88,    0.91,    5.15,    4.27,    1.93,    0.96,   14.46,   10.47,    105280,   24.94,     35.68,     20.94,     56.62
2023-02-07,18:15:31.206,    6.65,    4.75,    3.11,    1.37,    6.58,    4.84,    2.88,    1.39,   19.22,   12.36,    104240,   31.58,    8.73,    4.57,    4.89,    1.14,    8.28,    4.51,    5.20,    1.27,   27.10,   11.50,    104220,   38.59,     46.32,     23.85,     70.17
2023-02-07,18:15:31.306,    4.40,    3.71,    0.97,    0.34,    4.38,    3.69,    0.94,    0.32,   10.69,    8.06,    105280,   18.75,    4.67,    3.73,    1.21,    0.33,    4.38,    3.70,    1.12,    0.35,   11.38,    8.11,    105300,   19.48,     22.07,     16.17,     38.24
